期別,本月專題,摘要,檔案格式,檔案連結
第54卷第1期,設計、思考與科學教育,本月專題-自造世代與科學教育本月專題-美國紐岳瓦學校的創新自造課程本月專題-日本自造達人的轉變與自造工廠的現況本月專題-Maker運動在臺灣本月專題-科學實驗與科技實作的3D列印應用教學現場-簡易的電路設計—三切電路DIY教學現場-福建友人來訪的數學解題記事森棚教官的數學題-三角形中的格線科學話題-彗星撞地球—毀滅？還是創造？科學讀書會-國家地理：生活科學大揭密科教館GO好玩-科青必載—科教館行動導覽APP,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=2925
第53卷第12期,協作平台,本月專題-協作平台在科學教學之運用本月專題-網路讓我們同在一起學科學本月專題-協作平台在教育現場的應用─行動教育APP化學教室-氫能源及其簡易教具製作物理教室-救生浮沉子生物教室-文學與蜘蛛數學教室-香港行遇見人間數學科學讀書會-從輪子到諾貝爾：學校沒教的創新發明科教館GO 好玩-科教館最新數位學習教材—「前進！物理搜查線」,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=2918
第53卷第11期,認識原子核,本月專題-認識核能與核能發電本月專題-原子核與輻射能本月專題-催生慢中子本月專題-談慢中子的觸角數學教室-圓形的包裝問題地科教室-「太陽黑子」形成的新理論生物教室-文學與蟬科學讀書會-玩玩具，學科學：玩具背後的科學原理科教館GO 好玩-一場顛覆聽覺的遊戲饗宴：「生物律動－住在身體裡的音樂家」特展科展優良教師心得分享-見山又是山 做中學 新視野科展優良教師心得分享-窮理致知 開拓新局,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=2900
第53卷第10期,法拉第的故事,本月專題-法拉第的科學成就與貢獻 本月專題-與夢想靠近-法拉第的早年生活 本月專題-從兩個講座看法拉第與科普教育 數學教室-生活空間大小知多少 數學教室-數學題目中的資訊量 生活科技教室-逆風前行風力車活動設計與實施 地科教室-「神出鬼沒」的瘋狗浪 科學讀書會—益智化學續編 科教館GO好玩-穿越時空的學習步道—摩登原始人,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=2888
第53卷第9期,地殼、地景與人類,本月專題－地殼秘密檔案 本月專題－認識地殼中常見的岩石 本月專題－與火山共存 本月專題－ 輕鬆看懂臺灣十大地景 本月專題－野柳地質旅遊 數學教室估算的意義 生物教室－文學與蠶 科學讀書會－靈機一動：發明家的啟示 科教館GO 好玩－動手做 讓你成為聲音的製造家,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=2875
第53卷第8期,認識禽流感,本月專題-禽流感真的可怕嗎? 本月專題-人類禽流感預防方法及相關政策 本月專題-禽流感防疫行動 全民總動員 本月專題-新型流感H5N1疫苗的發展與挑戰 物理教室-壓強：壓力真強 地科教室-「雙眼牆颱風」的探討 生物教室-文學與蜻蜓 數學教室-「解構」魔術方塊 科學讀書會-改變世界的七種元素 科教館GO好玩-永續綠學習 科教館最優,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=2868
第53卷第7期,家庭農耕,本月專題-響應聯合國2014國際家庭農耕年 本月專題-家庭農耕及綠活生活 本月專題-都市農耕居家綠活園藝 本月專題-學習農業的科學?四健會的努力與成效 物理教室-利用光碟片做光柵物理實驗 數學教室-加與乘的遊戲 科學讀書會-太空人的地球生活指南：夢想、心態、怎麼按電梯、如何刷牙，以及怎麼穿著方形裝備走出圓形的門 科教館GO好玩-科學動手做 讓發想創意成為事實 科教館GO好玩-科展優良教師心得分享,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=2859
第53卷第6期,運動科技 ,本月專題－運動科技 本月專題-提升體能表現之運動科技 本月專題-加強心智能力之運動科技－提升壓力下專注的神經回饋訓練 本月專題-確保公平競爭之運動科技 物理教室-電流熱效應的迷思與澄清 地科教室-來自星星的夢-應用科技學天文 生物教室-臺灣水棲昆蟲與水質生物指標應用 生物教室-文學與荷 科學讀書會-假設思考 撼動世界的新力量  科教館GO好玩-科學學習中心 激發國中教師教學能量,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=2852
第53卷第5期,發光二極體(LED),本月專題－發光二極體(LED)－半導體與發光原理 本月專題－發光二極體(LED)－發光二極體之簡介與應用 本月專題－發光二極體（LED）－白光二極體的發展 本月專題－發光二極體（LED）－照明的未來 化學教室-製作並示範壓電塑膠管炮 生物教室-文學與鰈 數學教室-足球賽中的數學問題 數學教室-方塊積木的創意遊戲─猜猜看我是誰 科學讀書會-魚在水裡會不會被閃電打死 科教館GO 好玩-作科展激發未來的學習能力,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=2835
第53卷第4期,星空探索,本月專題-星空探索-宇宙中的行星知多少？ 本月專題-星空探索-克卜勒任務 —尋找可居住的行星 本月專題-星空探索-春季星座知多少？本月專題－星空探索-都市觀星趣－以彗星為例 物理教室-逆電流不逆 生物教室-海螺與海洋教育 生活科技教室-行動裝置的即時投影之介紹與應用 科學讀書會-改變科學的小運氣 科教館GO 好玩-我的創業夢 用科學來實現,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=2718
第53卷第3期,食品添加物,本月專題-「食」事難料「添」機不可洩露 本月專題-色、香的魔鬼（上）-色素 本月專題-色、香的魔鬼（下）-香精 本月專題-人工甜味料的下一步 生物教室-文學與蝶 生活科技教室-動手做節能減碳，做中學生活科技─提升照明效能實作 數學教室-用數學選擇省電燈具 科學讀書會-別輕易相信！你必須知道的科學偽新聞 科教館GO好玩-科學talk bar 講座精彩回顧 科教館GO好玩-科學研究路上不孤單,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=2657
第53卷第2期,真菌與人類,本月專題-危害農作物的主要兇手—真菌 本月專題-食用與藥用真菌 本月專題-真菌與人類疾病 生活科技教室-怎麼教學生最有創造力？ 地科教室-由「瘋狗浪」事件看我國的海象監測網 數學教室-趣味乘法與九九乘法表的秘密 科學讀書會-生活數學故事 科教館GO好玩-2014臺灣國際科展教師交流─各國科普教育的挑戰與機會分享 科教館GO好玩-漫漫長路～「心」的科展之路 科教館GO好玩-科展越做越有趣!,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=2551
第53卷第1期,傳播科技,本月專題-教學與學習資源無所不在 本月專題-網路世代的多螢傳播科技 本月專題-3D設計工具應用在機械玩偶的創意設計與製作 本月專題-數位遊戲在線上學習運用方式 生物教室-文學與蜂 化學教室-驗明正身-從遊戲中學習抽象化學概念 數學教室-基本幾何形板知多少？ 科學讀書會-時間的故事 科教館GO 好玩-「河川故事館」讓繪本喚起你對流域的好奇,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=2489
第52卷第12期,吳健雄─東方的居禮夫人,本月專題-吳健雄─東方的居禮夫人 本月專題－吳健雄的宇稱不守恒實驗 本月專題－吳健雄博士的物理實驗與迴旋加速器的關係 地科教室-簡介金瓜石的主要礦石 生物教室-文學與竹 生活科技教室-成為發明家的初體驗 胸懷宇宙 以科學探索未知─NASA太空任務科學家李傑信博士的科學路 科學讀書會-李伯伯最想告訴你的22個科學家故事 科教館GO好玩-科教館的環境教育課程─從「遊河日誌—從樹梅坑溪走來」特展談起 科教館GO好玩-科教館的環境教育課程─從「遊河日誌—從樹梅坑溪走來」特展談起 《科學研習》月刊第52 卷目錄彙編,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=2315
第52卷第11期 ,家庭化學實驗家庭,本月專題－家庭化學實驗  家庭化學實驗 家庭化學實驗：澱粉尋蹤記 家庭化學實驗：行動電化學蝕刻 家庭化學實驗：紫色魔法汁家庭化學實驗：奈米石墨烯的導電 地科教室超新星爆發 重元素旅程華麗的開始！ 數學教室女兒生日記事 科學讀書會環繞世界的小鴨艦隊 科教館GO 好玩...more ,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=2242
第52卷第10期 ,昆蟲解碼,本月專題－昆蟲解碼  跟隨昆蟲迷的腳步，解開昆蟲世界迷人的密碼昆蟲解碼序曲──無所不在的生命 昆蟲解碼主曲──千變萬化的形式 昆蟲解碼終曲──生生不息的永生 地科教室臺灣的地景 數學教室科學研究模擬遊戲 科學家...more,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=2153
第52卷第9期 ,地球之美,本月專題?地球之美  地球人，請微笑！從太空看地球彩虹的故事 我們一同看雲去 天外飛石？似曜岩類 生物教室寄居蟹的悲歌 數學教室數學素養：競標網站中的數學 我的科展路享受過程 期待成果 科學讀書會邁向圓滿：掌握幸福的科學方法& 練習計畫 ....more 更多 ,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=2013
第52卷第8期 ,化學展示  ,本月專題?化學展示  展示物質的化學世界 從碳簇、準晶到Zometool 的化學世界 以多媒體互動式展示驚奇化學實驗週期表新展示──親眼看到元素的感動 生物教室出沒於古典文學中的螃蟹 生活科技教室「動手做修復」─治療人形墓碑的方法 科學....more,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=1929
第52卷第7期 ,臺灣的真菌,本月專題?臺灣的真菌  台灣多孔菌類多樣性及其應用台灣特有國寶牛樟芝認識臺灣紅樹林海洋真菌台灣野生菇介紹 化學教室自製感溫和感光變色異形 生活科技教室平板族的異想世界?平板電腦教學應用實例 科學讀書會學校沒教的邏輯課:....more ,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=1839
第52卷第6期 ,建築科技,本月專題－建築科技：建築科技與節能減碳、建築的隔熱工程技術、未來城市所需的建築科技，物理教室?垂直面鞦韆陀螺，化學教室?自製磁性異形.......more,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=1728
第52卷第5期 ,探索奈米視界,本月主題—探索奈米視界；物理教室：應用教學概念圖；生物教室：寄生蟲的觀察；生活科技教室：引領學生動手做、做中學、解決問題；科學讀書會：銀河系大定位；科教館GO好玩：來科教館預約一個「科學的暑假」!....more,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=1663
第52卷第4期 ,太陽活動,本月主題—太陽活動；生活科技教室：(1)一起來發電；(2)雨傘套伸縮喇叭；科學家的科學路：追求卓越、全力扮演心中理想的科學教師?陳秋民；科教館GO好玩：開放吧!科學??科普與新傳媒論壇......more,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=1573
第52卷第3期 ,動手做幾何,本月主題—動手做幾何;化學教室:「看見」氣體的性質—利用生活物品DIY組裝實驗裝置;科學家的科學路:追求卓越、貢獻科教?專訪義守大學蕭介夫校長;科教館GO好玩:「擺」得有趣‧「擺」玩不厭......more ,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=1491
第52卷第2期 ,福祉科技,本期專題?福祉科技，一種改變世界的力量 / 數學教室?從乘法交換率談起 / 科學讀書會?學創意，現在就該懂的事 / 大師面對面?兩位中研院院士學習科學的經驗分享 / 「聽水的故事」特展視覺規劃設計觀點…more ,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=1409
第52卷第1期 ,認識奈米,本月專題?認識奈米(奈米現象介紹與奈米國家型科技人才培育計畫推廣概況、生物體表面的奈米現象、奈米球排排站─奈米微粒的自我組裝及應用、淺談奈米光觸媒)/數學教室?外婆的算術/生活科技教室?吹氣大學問等/科學家的科學路?平實中見深度的科學人李旺龍......more 更多 ,Adobe Flash Player,http://www.ntsec.gov.tw/User/Article.aspx?a=1362
第51卷第12期,視覺幾何－多面體面面觀,視覺幾何－多面體面面觀,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=1111
第51卷第11期,認識瘦肉精－用心面對‧食在安心,認識瘦肉精－用心面對‧食在安心,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=1112
第51卷第10期,擺的物理,擺的物理,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=1086
第51卷第9期,火星實驗室,火星實驗室,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=1043
第51卷第8期,神奇的化學反應,神奇的化學反應,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=1030
第51卷第7期,臺灣藻類,臺灣藻類,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=1032
第51卷第6期,能源科技實作活動,能源科技實作活動,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=1031
第51卷第5期,數學魔術,數學魔術,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=997
第51卷第4期,數位地球,數位地球,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=996
第51卷第3期,化學驚奇秀,化學驚奇秀,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=971
第51卷第2期,生活中的物理(下),生活中的物理(下),PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=955
第51卷第1期,電子書,電子書,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=954
第50卷第12期,遺傳機制,遺傳機制,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=866
第50卷第11期,生活中的物理（上）,生活中的物理（上）,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=837
第50卷第10期,生活中的幾何問題（下）,生活中的幾何問題（下）,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=820
第50卷第9期,從起雲劑、塑化劑談健康生活,從起雲劑、塑化劑談健康生活,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=819
第50卷第8期,遙控模型,遙控模型,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=775
第50卷第7期,十大美麗的化學實驗（下）,十大美麗的化學實驗（下）,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=773
第50卷第6期,大氣科學(下)東山飄雨西山晴,大氣科學(下)東山飄雨西山晴,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=493
第50卷第5期,生活中的幾何問題,生活中的幾何問題,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=494
第50卷第4期,大氣科學(上)風從哪裡來,大氣科學(上)風從哪裡來,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=495
第50卷第3期,認識超級細菌,認識超級細菌,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=496
第50卷第2期,臺灣常見小動物,臺灣常見小動物,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=497
第50卷第1期,十大美麗的化學實驗（一）,十大美麗的化學實驗（一）,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=498
第49卷第8期,生活中的數學,生活中的數學,PDF,http://www.ntsec.gov.tw/User/Article.aspx?a=502
